Date,Open,High,Low,Close,Volume,Stock Splits
1991-06-26,10.93932819366455,11.187949288975108,10.93932819366455,10.93932819366455,91800,0.0
1991-06-27,11.187950134277344,11.187950134277344,10.939329020182292,11.187950134277344,16200,0.0
1991-06-28,10.93932814008734,11.187949234180236,10.690707045994447,11.063638687133789,59700,0.0
1991-07-01,10.690707045994447,11.063638687133789,10.690707045994447,11.063638687133789,15900,0.0
1991-07-02,11.063639910080854,11.063639910080854,10.3177765453563,10.566397666931152,43900,0.0
1991-07-03,10.69070829663958,10.69070829663958,10.317776611873082,10.442087173461914,38200,0.0
1991-07-05,10.317776749773722,10.690708439524581,10.193466186523438,10.193466186523438,43900,0.0
1991-07-08,9.944845060022866,10.44208731302401,9.820534496772579,10.193466186523438,44400,0.0
1991-07-09,9.944844800372456,10.815018720405046,9.944844800372456,10.69070816040039,45100,0.0
1991-07-10,10.442087173461914,10.939329419817243,10.442087173461914,10.442087173461914,11500,0.0
1991-07-11,10.442086055360992,10.93932824847342,10.442086055360992,10.815017700195312,15400,0.0
1991-07-12,10.815018858228411,10.815018858228411,10.442087173461914,10.442087173461914,40600,0.0
1991-07-15,10.442086791992187,11.187950134277344,10.442086791992187,11.187950134277344,36800,0.0
1991-07-16,11.436571520428325,11.436571520428325,10.44208704039108,10.69070816040039,39000,0.0
1991-07-17,10.44208704039108,10.815018720405046,10.44208704039108,10.69070816040039,47500,0.0
1991-07-18,10.690707098353993,10.93932819366455,10.566396550698714,10.93932819366455,38400,0.0
1991-07-19,10.566396550698714,10.93932819366455,10.566396550698714,10.93932819366455,14300,0.0
1991-07-22,10.939329419817243,10.939329419817243,10.442087173461914,10.442087173461914,68700,0.0
1991-07-23,10.442087173461914,10.815018858228411,10.19346605028425,10.442087173461914,9700,0.0
1991-07-24,10.690708439524581,10.690708439524581,10.193466186523438,10.193466186523438,14400,0.0
1991-07-25,10.193465413926523,10.690707629240013,9.696223198613035,9.820533752441406,50400,0.0
1991-07-26,10.06915562327315,10.193466186523438,9.696223933522294,10.193466186523438,16200,0.0
1991-07-29,10.193466186523438,10.193466186523438,9.820534496772579,10.193466186523438,4400,0.0
1991-07-30,10.193465984568876,10.566397666931152,9.944844862994026,10.566397666931152,108100,0.0
1991-07-31,10.815018342888875,11.933813343877379,10.690707787223484,11.43657112121582,83200,0.0
1991-08-01,11.560881805419921,11.685192362467447,11.187950134277344,11.187950134277344,28400,0.0
1991-08-02,11.436571248372395,11.436571248372395,11.187950134277344,11.187950134277344,17600,0.0
1991-08-05,11.312260565550432,11.43657112121582,11.187950009885043,11.43657112121582,3700,0.0
1991-08-06,11.187950400419014,11.436571520428325,10.44208704039108,10.69070816040039,91300,0.0
1991-08-07,10.566396603639099,10.815017700195312,10.566396603639099,10.815017700195312,10400,0.0
1991-08-08,10.815018720405046,11.187950400419014,10.566397600395735,10.69070816040039,25800,0.0
1991-08-09,10.815018788506002,10.815018788506002,10.069155423781451,10.566397666931152,34300,0.0
1991-08-12,10.566397666931152,10.566397666931152,10.193465984568876,10.566397666931152,10900,0.0
1991-08-13,10.193465984568876,10.566397666931152,10.193465984568876,10.566397666931152,15900,0.0
1991-08-14,10.317776749773722,10.690708439524581,10.193466186523438,10.193466186523438,49000,0.0
1991-08-15,10.193465920381769,10.69070816040039,10.193465920381769,10.69070816040039,180400,0.0
1991-08-16,10.690707151917206,10.93932824847342,10.442086055360992,10.815017700195312,32900,0.0
1991-08-19,10.193465291717906,10.193465291717906,9.696223082365812,10.069154739379883,58600,0.0
1991-08-20,10.442086277237857,10.442086277237857,10.069154624479362,10.31777572631836,37900,0.0
1991-08-21,10.3177765453563,10.939329349293429,10.193465984568876,10.566397666931152,103900,0.0
1991-08-22,10.815018858228411,10.815018858228411,10.19346605028425,10.442087173461914,38700,0.0
1991-08-23,10.19346605028425,10.69070829663958,10.19346605028425,10.442087173461914,40100,0.0
1991-08-26,10.69070829663958,10.69070829663958,10.442087173461914,10.442087173461914,24300,0.0
1991-08-27,10.31777572631836,10.690707379076853,10.193465175398861,10.31777572631836,32700,0.0
1991-08-28,10.566397735050748,10.566397735050748,10.19346605028425,10.442087173461914,89700,0.0
1991-08-29,10.56639701128006,12.18243420124054,10.442086458206177,11.933813095092773,516600,0.0
1991-08-30,12.182434455208156,12.182434455208156,11.312260565550432,11.43657112121582,124000,0.0
1991-09-03,12.058124407373294,12.928298333678583,12.058124407373294,12.306745529174805,270400,0.0
1991-09-04,12.555366386487647,12.928298061333814,12.306745269923535,12.803987503051758,99500,0.0
1991-09-05,13.052609301059046,13.42554099537502,12.803988171515064,13.301230430603027,196100,0.0
1991-09-06,13.301229736179982,13.67416141102615,12.803987503051758,12.803987503051758,249300,0.0
1991-09-09,12.679676055908203,13.052607704611386,12.431054956772748,12.679676055908203,55300,0.0
1991-09-10,12.803986721038818,13.052607822418212,12.306744518280029,12.431055068969727,66100,0.0
1991-09-11,12.431055185746173,12.431055185746173,11.933812978316325,12.18243408203125,39900,0.0
1991-09-12,12.182434590657552,13.052608489990234,12.058124033610026,13.052608489990234,177000,0.0
1991-09-13,12.803986387432746,13.30122857723596,12.803986387432746,13.176918029785156,66500,0.0
1991-09-16,13.30122868831341,13.30122868831341,12.92829704284668,12.92829704284668,54200,0.0
1991-09-17,13.1769181398245,13.1769181398245,12.679675945868858,12.92829704284668,31900,0.0
1991-09-18,13.05260974581879,13.05260974581879,12.306746331772002,12.555367469787598,123300,0.0
1991-09-19,13.176918625831604,16.160371899604797,12.555365860462189,15.911750793457031,879400,0.0
1991-09-20,17.403476330661036,17.403476330661036,15.663128697594932,16.036060333251953,533100,0.0
1991-09-23,15.911751302083333,15.911751302083333,14.42002461751302,14.917266845703125,274000,0.0
1991-09-24,15.165888227265457,15.165888227265457,13.92278263486665,14.420024871826172,210700,0.0
1991-09-25,14.668645990305935,14.668645990305935,14.17140375334641,14.420024871826172,40300,0.0
1991-09-26,13.922782764100191,14.54433556606895,13.674161643312688,14.171403884887695,136700,0.0
1991-09-27,14.4200247425144,14.668645858764648,13.922782510013903,14.668645858764648,91400,0.0
1991-09-30,14.668645858764648,14.668645858764648,13.922782510013903,14.668645858764648,79400,0.0
1991-10-01,14.171403884887695,14.668646126462702,14.171403884887695,14.171403884887695,134600,0.0
1991-10-02,14.668645731608073,15.663130187988282,14.171403503417968,14.917266845703125,107300,0.0
1991-10-03,15.41450894465212,15.41450894465212,14.668645608620565,15.165887832641602,101800,0.0
1991-10-04,15.414508698478578,16.16037202259851,15.1658875904386,15.663129806518555,183500,0.0
1991-10-07,15.663130187988282,15.663130187988282,14.917266845703125,14.917266845703125,61300,0.0
1991-10-08,14.917267522504254,15.414509773254395,14.917267522504254,15.414509773254395,22300,0.0
1991-10-09,15.911749788032946,16.16037087847096,15.414507607156917,16.036060333251953,235500,0.0
1991-10-10,15.663129687309265,16.160371899604797,15.414508581161499,15.911750793457031,343400,0.0
1991-10-11,15.414508698478578,15.911750914558532,15.414508698478578,15.663129806518555,176300,0.0
1991-10-14,15.911750793457031,16.160371899604797,15.414508581161499,15.911750793457031,58900,0.0
1991-10-15,15.911753627232143,17.403480529785156,15.911753627232143,17.403480529785156,377800,0.0
1991-10-16,17.154855310100398,18.64658185880478,16.65761312719894,18.14933967590332,349800,0.0
1991-10-17,17.900721157298367,17.900721157298367,16.90623664855957,16.90623664855957,129100,0.0
1991-10-18,16.906236510345902,17.652099885802336,16.906236510345902,17.154857635498047,141400,0.0
1991-10-21,17.154857366857396,17.652099609375,17.154857366857396,17.652099609375,68100,0.0
1991-10-22,17.154856872558593,19.14382578531901,17.154856872558593,18.646583557128906,260900,0.0
